26,请问办理权限内计量标准器具考核复查咨询电话是多少？,您好，5号经济社会类窗口咨询电话：0851-84878127
27,请问办理权限内计量标准器具考核复查是否可以代办？,您好，该事项可以代办。
28,可以通过哪些途径进行申请办理《食品经营许可证》,在高新区办理《食品经营许可证》可以提交纸质材料在政务大厅5号窗口进行办理，也可以登录贵州政务服务网（高新区站点）上传电子版材料进行办理。
29,办理《食品经营许可证》需要哪些材料,"1.申请书；2，法定代表人身份证复印件、食品安全管理人员身份证复印件；3.经营场所和主要设备设施布局、操作流程示意图；4.食品安全管理制度；5.经营场所的合法使用证明。另外，注意啦申请办理售卖散装食品还需要提交从业人员健康证；申请办理主体业态为餐饮服务或食堂还需提交从业人员健康证和生活饮用水安全检测报告。"
30,申请材料中生活饮用水安全检测报告指的是什么、需要怎么提供？,该项材料我们指的是利用城市市政供水的仅需提供经营者近期缴纳自来水费的发票即可，而采用二次供水或者桶装水等其他用的则需要提供具有检测资质的第三方对经营者加工所使用的水进行安全检测后出具的检测报告。
31,什么时候办理《食品经营许可证》，什么时候办理《小餐饮登记证》？,小餐饮，是指达不到国家规定的食品经营许可条件，有固定经营场所，符合餐饮服务基本特征的小餐馆、小吃店、小饮品店等。午托及家庭托餐纳入小餐饮登记管理。
32,《食品经营许可证》和《小餐饮登记证》法律效力有什么区别？,《小餐饮登记证》仅针对小餐饮、小吃店、小饮品店等，经过审核登记，可经营的业务范围有：热食类食品制售、冷食类食品制售、糕点类食品制售、自制饮品制售。而《食品经营许可证》针对的还有生食类食品制售和食品销售经营者、单位食堂另外两种业态。
33,办理《食品经营许可证》或《小餐饮登记证》提交申请材料后要多久才能拿到证照？,以上两个事项的法定时限为20个工作日，特殊时限10个工作日（不计入法定时限）。高新区的承诺时限为10个工作日，特殊环节10个工作（不计入承诺时限）。推荐您使用贵州政务服务网进行办理，方便您更方便、便捷的了解事项办理的动态情况，也对我们服务进行监督。
34,办理《民办职业培训学校办学许可》前需要做什么准备工作？,申请办理《民办职业培训学校办学许可》，需先到民办学校登记机关进行《名称预先核准》，确定学校名称后准备申请材料，便可到高新区政务大厅5号窗口或者登陆贵州政务服务网（高新区站点）进行申请。
35,民办学校的登记机关有哪些？,民办学校的登记机关有民政部门、工商部门等
36,民办职业培训学校可以办理哪些经验范围？,首先民办职业培训学校针对的是非学历教育，其次可根据《中华人民共和国职业分类大典》的职业分类进行申请办理。
37,办理《民办职业培训学校办学许可》筹设需要提交哪些材料？,1.申请筹设民办职业学校报告；2.举办者的姓名、住址或者名称、地址；3.国家批准的验资机构出具的载明产权的验资报告；4.登记机关批准的民办学校名称预审手续
38,办理《民办职业培训学校办学许可》设立需要提交哪些材料？,1.民办职业培训学校申办报告；2.贵阳市民办职业培训学校审批表；3.拟办民办职业培训学校的章程；4.单位办学应出具举办者的法人资格证明及复印件，上级主管部门同意办学的证明文件。公民个人申请办学应提交申请人的户籍证明、身份证及复印件；5.拟办民办职业培训学校董事会、理事会或者其他形式决策机构人员、拟任校长、财会人员、职工的身份、学历、资格证书等证明材料及复印件；6.拟聘理论教师、实习指导教师的身份、学历、资格证明材料及复印件；7.拟办民办职业培训学校的资产及经费来源的证明文件；8.适合用作办公、培训和实习场地证明；9.房屋安全鉴定机构出具的房屋安全证明；10.消防验收合格手续；11.满足教学和实际操作培训需要的主要设施、设备的清单及所有权证明；12.开展相应职业（工种）培训的教学计划、教学大纲和相应的教材；13.登记机关批准的民办学校名称预审手续。
39,可以不经过筹设直接进行民办学校的设立吗？,可以，但仅限于硬件、软件条件较成熟的民办学校
40,办理设置大型户外广告许可需要多长时间？,承诺时限5个工作日
41,办理设置大型户外广告许可需要什么材料？,"1 申请表2 产权单位同意设置证明3 拟设广告设施图文资料"
42,办理设置大型户外广告许可的条件是什么？,根据《贵阳市户外广告设置管理办法》 第四条 设置户外广告，应当符合户外广告设置规划和户外广告设施设置技术规范。 
43,设置大型户外广告许可是否可以网上办？,可以，通过贵州省网上办事大厅在线办理。
44,设置大型户外广告许可是否可以邮政办？,可以。
45,办理城市排水许可证需要多长时间？,承诺时限10个工作日
46,办理城市排水许可证需要什么材料？,"1 申请表2 排水户内部排水管网、专用检测井、污水排放口位置和口径的图纸及说明材料3 按规定建设污水预处理设施的材料4 排水隐蔽工程竣工报告5 排水水质、水量检测报告或拟排放污水的排水户提交水质、水量预测报告6 安装主要水污染物排放自动监测设备材料（适用时）"
47,办理城市排水许可证的条件是什么？,根据《城镇排水与污水处理条例》 第二十二条　排水户申请领取污水排入排水管网许可证应当具备下列条件： 　　（一）排放口的设置符合城镇排水与污水处理规划的要求； 　　（二）按照国家有关规定建设相应的预处理设施和水质、水量检测设施； 　　（三）排放的污水符合国家或者地方规定的有关排放标准； 　　（四）法律、法规规定的其他条件。 　　符合前款规定条件的，由城镇排水主管部门核发污水排入排水管网许可证；具体办法由国务院住房城乡建设主管部门制定。 
48,城市排水许可证是否可以网上办？,可以，通过贵州省网上办事大厅在线办理。
49,城市排水许可证是否可以邮政办？,可以。
50,办理占用、挖掘城市道路的许可需要多长时间？,承诺时限7个工作日
51,办理占用、挖掘城市道路的许可需要什么材料？,"1 申请书2 施工设计图3 施工组织方案4 规划部门批准签发的文件和有关设计文件（适用时）"
52,办理占用、挖掘城市道路的许可的条件是什么？,根据《城市道路管理条例》 第三十一条：因特殊情况需要临时占用城市道路的，须经市政工程行政主管部门和公安交通管理部门批准，方可按照规定占用。经批准临时占用城市道路的，不得损坏城市道路；占用期满后，应当及时清理占用现场，恢复城市道路原状；损坏城市道路的，应当修复或者给予赔偿。 第三十三条：因工程建设需要挖掘城市道路的，应当提交城市规划部门批准签发的文件和有关设计文件，经市政工程行政主管部门和公安交通管理部门批准，方可按照规定挖掘。新建、扩建、改建的城市道路交付使用后5年内、大修的城市道路竣工后3年内不得挖掘；因特殊情况需要挖掘的，须经县级以上城市人民政府批准。
53,占用、挖掘城市道路的许可是否可以网上办？,可以，通过贵州省网上办事大厅在线办理。
54,占用、挖掘城市道路的许可是否可以邮政办？,可以。
55,办理特种设备作业人员资格证需要多长时间？,承诺时限10个工作日
56,办理特种设备作业人员资格证需要什么材料？,"1 特种设备作业人员考核申请表2 身份证复印件3 个人照片4 学历证明"
57,办理特种设备作业人员资格证的条件是什么？,根据《特种设备作业人员考核规则》（TSG Z6001-2013） 第三章 考试和审批发证 第十四条 申请人应当符合下列条件： 1、年龄在18周岁以上（含18周岁）、60周岁以下（含60周岁），具有完全民事行为能力； 2、身体健康并满足申请从事的作业项目对身体的特殊要求； 3、有与申请作业项目相适应的文化程度； 4、具有相应的安全技术知识与技能； 5、符合安全技术规范规定的要求。 
58,特种设备作业人员资格证是否可以网上办？,可以，通过贵州省网上办事大厅在线办理。
59,特种设备作业人员资格证是否可以邮政办？,可以。
60,二手车交易市场及经销企业备案程序是什么？,1.企业在取得工商营业执照2个月内到所在县(市、区)商务主管部门进行备案登记。同时在商务部业务系统统一平台全国汽车流通信息管理系统（http://ecomp.mofcom.gov.cn）“汽车企业申请”栏目进行注册(法人注册)并登录，已注册企业以法人用户身份登录，如实完整填写企业基本信息。2.按照属地管理原则，企业提交相关材料到所在县(市、区)商务主管部门进行备案登记。若由市(州)商务主管部门直管的企业，则由市(州)商务主管部门负责备案。
61,二手车交易市场及经销企业备案需携带哪些材料？,一、基本材料1.盖有企业公章的备案申请表、诚信经营承诺书；2.相关证件原件及复印件:营业执照副本(社会统一信用代码)、办公场所(经营场地)产权证明或租赁合同、企业法定代表人身份证。二、需特别准备的材料1.二手车交易市场:交易市场场地面积相关证明，产权证明或租赁合同等。2.二手车拍卖企业:拍卖经营资质证书原件及复印
62,贵阳国家高新区能否进行二手车交易市场备案？,按照《贵阳市大型专业市场总体规划（2014-2020年）》要求，贵阳国际汽贸城（含二手车交易专业市场）选址于花溪区孟关乡；同时按照《贵阳市人民政府关于全市二手车交易市场规划布局和功能定位调整的批复》（筑府函〔2016〕136号）文件精神，在贵阳国际汽贸城二手车交易市场的基础上，增加设立清镇市二手商用车交易市场的规划定点。因此贵阳国家高新区暂时不属于二手车交易市场规划范围，不能进行二手车交易市场备案。
63,对外贸易经营者备案登记表上的经营场所和住所是否需要一致?,这两处都需要跟企业营业执照上的住所一致
